"","aarmnd","bransje_grov","fylkesnavn","stilling_kilde_id","ainfo","kafka"
"1",202005,"Akademiske yrker","03 Oslo",42,14,14
"2",202005,"Akademiske yrker","03 Oslo",45,450,418
"3",202005,"Akademiske yrker","11 Rogaland",42,3,3
"4",202005,"Akademiske yrker","11 Rogaland",45,76,78
"5",202005,"Akademiske yrker","15 Møre og Romsdal",42,1,1
"6",202005,"Akademiske yrker","15 Møre og Romsdal",45,52,50
"7",202005,"Akademiske yrker","18 Nordland",42,4,3
"8",202005,"Akademiske yrker","18 Nordland",45,50,49
"9",202005,"Akademiske yrker","30 Viken",42,5,5
"10",202005,"Akademiske yrker","30 Viken",45,233,235
"11",202005,"Akademiske yrker","34 Innlandet",42,2,1
"12",202005,"Akademiske yrker","34 Innlandet",45,52,53
"13",202005,"Akademiske yrker","38 Telemark og Vestfold",42,3,3
"14",202005,"Akademiske yrker","38 Telemark og Vestfold",45,52,52
"15",202005,"Akademiske yrker","42 Agder",42,2,2
"16",202005,"Akademiske yrker","42 Agder",45,68,67
"17",202005,"Akademiske yrker","46 Vestland",42,4,4
"18",202005,"Akademiske yrker","46 Vestland",45,242,236
"19",202005,"Akademiske yrker","50 Trøndelag",42,6,6
"20",202005,"Akademiske yrker","50 Trøndelag",45,98,90
"21",202005,"Akademiske yrker","54 Finnmark og Troms",42,1,2
"22",202005,"Akademiske yrker","54 Finnmark og Troms",45,76,74
"23",202005,"Akademiske yrker","99 øvrige omrøder",45,1,1
"24",202005,"Akademiske yrker","UTLAND",45,5,NA
"25",202005,"Barne- og ungdomsarbeid","03 Oslo",42,4,9
"26",202005,"Barne- og ungdomsarbeid","03 Oslo",45,333,332
"27",202005,"Barne- og ungdomsarbeid","11 Rogaland",42,3,4
"28",202005,"Barne- og ungdomsarbeid","11 Rogaland",45,61,62
"29",202005,"Barne- og ungdomsarbeid","15 Møre og Romsdal",42,2,2
"30",202005,"Barne- og ungdomsarbeid","15 Møre og Romsdal",45,50,50
"31",202005,"Barne- og ungdomsarbeid","18 Nordland",42,14,14
"32",202005,"Barne- og ungdomsarbeid","18 Nordland",45,37,37
"33",202005,"Barne- og ungdomsarbeid","30 Viken",42,22,12
"34",202005,"Barne- og ungdomsarbeid","30 Viken",45,186,172
"35",202005,"Barne- og ungdomsarbeid","34 Innlandet",42,23,22
"36",202005,"Barne- og ungdomsarbeid","34 Innlandet",45,23,22
"37",202005,"Barne- og ungdomsarbeid","38 Telemark og Vestfold",42,28,27
"38",202005,"Barne- og ungdomsarbeid","38 Telemark og Vestfold",45,69,70
"39",202005,"Barne- og ungdomsarbeid","42 Agder",42,13,12
"40",202005,"Barne- og ungdomsarbeid","42 Agder",45,42,41
"41",202005,"Barne- og ungdomsarbeid","46 Vestland",42,12,11
"42",202005,"Barne- og ungdomsarbeid","46 Vestland",45,127,127
"43",202005,"Barne- og ungdomsarbeid","50 Trøndelag",42,58,53
"44",202005,"Barne- og ungdomsarbeid","50 Trøndelag",45,135,92
"45",202005,"Barne- og ungdomsarbeid","54 Finnmark og Troms",42,4,4
"46",202005,"Barne- og ungdomsarbeid","54 Finnmark og Troms",45,92,89
"47",202005,"Butikk- og salgsarbeid","03 Oslo",42,13,13
"48",202005,"Butikk- og salgsarbeid","03 Oslo",45,477,461
"49",202005,"Butikk- og salgsarbeid","11 Rogaland",42,13,13
"50",202005,"Butikk- og salgsarbeid","11 Rogaland",45,98,98
"51",202005,"Butikk- og salgsarbeid","15 Møre og Romsdal",42,4,4
"52",202005,"Butikk- og salgsarbeid","15 Møre og Romsdal",45,79,83
"53",202005,"Butikk- og salgsarbeid","18 Nordland",42,8,9
"54",202005,"Butikk- og salgsarbeid","18 Nordland",45,84,80
"55",202005,"Butikk- og salgsarbeid","30 Viken",42,49,49
"56",202005,"Butikk- og salgsarbeid","30 Viken",45,297,299
"57",202005,"Butikk- og salgsarbeid","34 Innlandet",42,35,45
"58",202005,"Butikk- og salgsarbeid","34 Innlandet",45,72,76
"59",202005,"Butikk- og salgsarbeid","38 Telemark og Vestfold",42,58,57
"60",202005,"Butikk- og salgsarbeid","38 Telemark og Vestfold",45,157,168
"61",202005,"Butikk- og salgsarbeid","42 Agder",42,25,21
"62",202005,"Butikk- og salgsarbeid","42 Agder",45,102,102
"63",202005,"Butikk- og salgsarbeid","46 Vestland",42,12,13
"64",202005,"Butikk- og salgsarbeid","46 Vestland",45,143,143
"65",202005,"Butikk- og salgsarbeid","50 Trøndelag",42,40,40
"66",202005,"Butikk- og salgsarbeid","50 Trøndelag",45,164,164
"67",202005,"Butikk- og salgsarbeid","54 Finnmark og Troms",42,18,18
"68",202005,"Butikk- og salgsarbeid","54 Finnmark og Troms",45,104,90
"69",202005,"Bygg og anlegg","03 Oslo",42,29,47
"70",202005,"Bygg og anlegg","03 Oslo",45,404,376
"71",202005,"Bygg og anlegg","11 Rogaland",42,109,101
"72",202005,"Bygg og anlegg","11 Rogaland",45,256,253
"73",202005,"Bygg og anlegg","15 Møre og Romsdal",42,29,29
"74",202005,"Bygg og anlegg","15 Møre og Romsdal",45,123,114
"75",202005,"Bygg og anlegg","18 Nordland",42,12,12
"76",202005,"Bygg og anlegg","18 Nordland",45,164,167
"77",202005,"Bygg og anlegg","30 Viken",42,104,99
"78",202005,"Bygg og anlegg","30 Viken",45,412,398
"79",202005,"Bygg og anlegg","34 Innlandet",42,26,30
"80",202005,"Bygg og anlegg","34 Innlandet",45,69,72
"81",202005,"Bygg og anlegg","38 Telemark og Vestfold",42,57,58
"82",202005,"Bygg og anlegg","38 Telemark og Vestfold",45,147,143
"83",202005,"Bygg og anlegg","42 Agder",42,36,32
"84",202005,"Bygg og anlegg","42 Agder",45,53,57
"85",202005,"Bygg og anlegg","46 Vestland",42,47,40
"86",202005,"Bygg og anlegg","46 Vestland",45,270,261
"87",202005,"Bygg og anlegg","50 Trøndelag",42,120,116
"88",202005,"Bygg og anlegg","50 Trøndelag",45,240,233
"89",202005,"Bygg og anlegg","54 Finnmark og Troms",42,67,67
"90",202005,"Bygg og anlegg","54 Finnmark og Troms",45,144,157
"91",202005,"Helse, pleie og omsorg","03 Oslo",42,7,10
"92",202005,"Helse, pleie og omsorg","03 Oslo",45,1062,1137
"93",202005,"Helse, pleie og omsorg","11 Rogaland",42,7,9
"94",202005,"Helse, pleie og omsorg","11 Rogaland",45,461,460
"95",202005,"Helse, pleie og omsorg","15 Møre og Romsdal",42,4,5
